"Title","CG: Current expenditure: Net Interest payable: £m CPNSA"
"CDID","NMFX"
"Source dataset ID","PUSF"
"PreUnit","£"
"Unit","m"
"Release date","22-01-2026"
"Next release","20 February 2026"
"Important notes",
"1946","496"
"1947","529"
"1948","520"
"1949","519"
"1950","520"
"1951","564"
"1952","625"
"1953","658"
"1954","656"
"1955","726"
"1956","743"
"1957","728"
"1958","804"
"1959","799"
"1960","888"
"1961","928"
"1962","910"
"1963","969"
"1964","980"
"1965","1011"
"1966","1088"
"1967","1158"
"1968","1295"
"1969","1333"
"1970","1347"
"1971","1461"
"1972","1696"
"1973","1896"
"1974","2257"
"1975","2840"
"1976","3833"
"1977","4692"
"1978","5645"
"1979","6915"
"1980","8674"
"1981","10623"
"1982","12008"
"1983","12885"
"1984","14884"
"1985","16197"
"1986","17069"
"1987","18604"
"1988","18941"
"1989","19947"
"1990","20071"
"1991","18146"
"1992","18556"
"1993","19827"
"1994","22658"
"1995","25899"
"1996","27402"
"1997","29335"
"1998","30109"
"1999","26577"
"2000","26615"
"2001","24106"
"2002","21907"
"2003","22996"
"2004","24697"
"2005","27721"
"2006","29413"
"2007","33944"
"2008","34990"
"2009","29793"
"2010","46883"
"2011","53587"
"2012","49824"
"2013","50827"
"2014","49760"
"2015","44529"
"2016","48612"
"2017","55835"
"2018","53208"
"2019","48572"
"2020","41836"
"2021","62175"
"2022","107845"
"2023","86281"
"2024","81920"
"2025","98410"
"1946 Q1","124"
"1946 Q2","124"
"1946 Q3","124"
"1946 Q4","124"
"1947 Q1","132"
"1947 Q2","132"
"1947 Q3","132"
"1947 Q4","133"
"1948 Q1","130"
"1948 Q2","130"
"1948 Q3","130"
"1948 Q4","130"
"1949 Q1","130"
"1949 Q2","130"
"1949 Q3","129"
"1949 Q4","130"
"1950 Q1","130"
"1950 Q2","130"
"1950 Q3","130"
"1950 Q4","130"
"1951 Q1","141"
"1951 Q2","141"
"1951 Q3","141"
"1951 Q4","141"
"1952 Q1","156"
"1952 Q2","156"
"1952 Q3","156"
"1952 Q4","157"
"1953 Q1","165"
"1953 Q2","165"
"1953 Q3","164"
"1953 Q4","164"
"1954 Q1","164"
"1954 Q2","165"
"1954 Q3","164"
"1954 Q4","163"
"1955 Q1","164"
"1955 Q2","170"
"1955 Q3","172"
"1955 Q4","220"
"1956 Q1","180"
"1956 Q2","188"
"1956 Q3","177"
"1956 Q4","198"
"1957 Q1","168"
"1957 Q2","185"
"1957 Q3","170"
"1957 Q4","205"
"1958 Q1","209"
"1958 Q2","184"
"1958 Q3","193"
"1958 Q4","218"
"1959 Q1","198"
"1959 Q2","178"
"1959 Q3","199"
"1959 Q4","224"
"1960 Q1","218"
"1960 Q2","199"
"1960 Q3","221"
"1960 Q4","250"
"1961 Q1","217"
"1961 Q2","214"
"1961 Q3","241"
"1961 Q4","256"
"1962 Q1","238"
"1962 Q2","201"
"1962 Q3","230"
"1962 Q4","241"
"1963 Q1","263"
"1963 Q2","200"
"1963 Q3","263"
"1963 Q4","243"
"1964 Q1","278"
"1964 Q2","205"
"1964 Q3","279"
"1964 Q4","218"
"1965 Q1","284"
"1965 Q2","220"
"1965 Q3","273"
"1965 Q4","234"
"1966 Q1","287"
"1966 Q2","240"
"1966 Q3","293"
"1966 Q4","268"
"1967 Q1","314"
"1967 Q2","226"
"1967 Q3","341"
"1967 Q4","277"
"1968 Q1","380"
"1968 Q2","256"
"1968 Q3","371"
"1968 Q4","288"
"1969 Q1","387"
"1969 Q2","270"
"1969 Q3","360"
"1969 Q4","316"
"1970 Q1","368"
"1970 Q2","280"
"1970 Q3","359"
"1970 Q4","340"
"1971 Q1","365"
"1971 Q2","306"
"1971 Q3","410"
"1971 Q4","380"
"1972 Q1","448"
"1972 Q2","387"
"1972 Q3","425"
"1972 Q4","436"
"1973 Q1","478"
"1973 Q2","389"
"1973 Q3","536"
"1973 Q4","493"
"1974 Q1","599"
"1974 Q2","454"
"1974 Q3","650"
"1974 Q4","554"
"1975 Q1","714"
"1975 Q2","586"
"1975 Q3","824"
"1975 Q4","716"
"1976 Q1","983"
"1976 Q2","777"
"1976 Q3","1172"
"1976 Q4","901"
"1977 Q1","1229"
"1977 Q2","1060"
"1977 Q3","1260"
"1977 Q4","1143"
"1978 Q1","1444"
"1978 Q2","1195"
"1978 Q3","1528"
"1978 Q4","1478"
"1979 Q1","1655"
"1979 Q2","1586"
"1979 Q3","1911"
"1979 Q4","1763"
"1980 Q1","2327"
"1980 Q2","1853"
"1980 Q3","2515"
"1980 Q4","1979"
"1981 Q1","2816"
"1981 Q2","2251"
"1981 Q3","3182"
"1981 Q4","2374"
"1982 Q1","3425"
"1982 Q2","2468"
"1982 Q3","3480"
"1982 Q4","2635"
"1983 Q1","3504"
"1983 Q2","2609"
"1983 Q3","3597"
"1983 Q4","3175"
"1984 Q1","3844"
"1984 Q2","3505"
"1984 Q3","3523"
"1984 Q4","4012"
"1985 Q1","3680"
"1985 Q2","4076"
"1985 Q3","3924"
"1985 Q4","4517"
"1986 Q1","4084"
"1986 Q2","4130"
"1986 Q3","4323"
"1986 Q4","4532"
"1987 Q1","4375"
"1987 Q2","4629"
"1987 Q3","4799"
"1987 Q4","4801"
"1988 Q1","4376"
"1988 Q2","4597"
"1988 Q3","4729"
"1988 Q4","5239"
"1989 Q1","4605"
"1989 Q2","5195"
"1989 Q3","5086"
"1989 Q4","5061"
"1990 Q1","4679"
"1990 Q2","5092"
"1990 Q3","4856"
"1990 Q4","5444"
"1991 Q1","4398"
"1991 Q2","4923"
"1991 Q3","4097"
"1991 Q4","4728"
"1992 Q1","4206"
"1992 Q2","4617"
"1992 Q3","4457"
"1992 Q4","5276"
"1993 Q1","4529"
"1993 Q2","5008"
"1993 Q3","4541"
"1993 Q4","5749"
"1994 Q1","5264"
"1994 Q2","5602"
"1994 Q3","5397"
"1994 Q4","6395"
"1995 Q1","5783"
"1995 Q2","6393"
"1995 Q3","6593"
"1995 Q4","7130"
"1996 Q1","6415"
"1996 Q2","6680"
"1996 Q3","6779"
"1996 Q4","7528"
"1997 Q1","7004"
"1997 Q2","7312"
"1997 Q3","7241"
"1997 Q4","7794"
"1998 Q1","7473"
"1998 Q2","7684"
"1998 Q3","7095"
"1998 Q4","7857"
"1999 Q1","6806"
"1999 Q2","6895"
"1999 Q3","6053"
"1999 Q4","6823"
"2000 Q1","6128"
"2000 Q2","6872"
"2000 Q3","6467"
"2000 Q4","7148"
"2001 Q1","6404"
"2001 Q2","6054"
"2001 Q3","5530"
"2001 Q4","6118"
"2002 Q1","5313"
"2002 Q2","5809"
"2002 Q3","4619"
"2002 Q4","6166"
"2003 Q1","5154"
"2003 Q2","6030"
"2003 Q3","5302"
"2003 Q4","6510"
"2004 Q1","5379"
"2004 Q2","6157"
"2004 Q3","5963"
"2004 Q4","7198"
"2005 Q1","6567"
"2005 Q2","7028"
"2005 Q3","6412"
"2005 Q4","7714"
"2006 Q1","6643"
"2006 Q2","7243"
"2006 Q3","6989"
"2006 Q4","8538"
"2007 Q1","7993"
"2007 Q2","8503"
"2007 Q3","7812"
"2007 Q4","9636"
"2008 Q1","7748"
"2008 Q2","9397"
"2008 Q3","8239"
"2008 Q4","9606"
"2009 Q1","6293"
"2009 Q2","8383"
"2009 Q3","4896"
"2009 Q4","10221"
"2010 Q1","10175"
"2010 Q2","12802"
"2010 Q3","10600"
"2010 Q4","13306"
"2011 Q1","12016"
"2011 Q2","14738"
"2011 Q3","11762"
"2011 Q4","15071"
"2012 Q1","10646"
"2012 Q2","14708"
"2012 Q3","10047"
"2012 Q4","14423"
"2013 Q1","11517"
"2013 Q2","14891"
"2013 Q3","10647"
"2013 Q4","13772"
"2014 Q1","11069"
"2014 Q2","14261"
"2014 Q3","11300"
"2014 Q4","13130"
"2015 Q1","7905"
"2015 Q2","13754"
"2015 Q3","10788"
"2015 Q4","12082"
"2016 Q1","9736"
"2016 Q2","13842"
"2016 Q3","12614"
"2016 Q4","12420"
"2017 Q1","11046"
"2017 Q2","16906"
"2017 Q3","13195"
"2017 Q4","14688"
"2018 Q1","11373"
"2018 Q2","14995"
"2018 Q3","12518"
"2018 Q4","14322"
"2019 Q1","8299"
"2019 Q2","17346"
"2019 Q3","11115"
"2019 Q4","11812"
"2020 Q1","9993"
"2020 Q2","11731"
"2020 Q3","11082"
"2020 Q4","9030"
"2021 Q1","9169"
"2021 Q2","18427"
"2021 Q3","15335"
"2021 Q4","19244"
"2022 Q1","17886"
"2022 Q2","34983"
"2022 Q3","23063"
"2022 Q4","31913"
"2023 Q1","18104"
"2023 Q2","31556"
"2023 Q3","15533"
"2023 Q4","21088"
"2024 Q1","15036"
"2024 Q2","25786"
"2024 Q3","19369"
"2024 Q4","21729"
"2025 Q1","18520"
"2025 Q2","34357"
"2025 Q3","24975"
"2025 Q4","20558"
"1997 APR","1703"
"1997 MAY","1888"
"1997 JUN","3721"
"1997 JUL","2237"
"1997 AUG","2370"
"1997 SEP","2634"
"1997 OCT","1458"
"1997 NOV","2153"
"1997 DEC","4183"
"1998 JAN","2550"
"1998 FEB","2589"
"1998 MAR","2334"
"1998 APR","2772"
"1998 MAY","2556"
"1998 JUN","2356"
"1998 JUL","2579"
"1998 AUG","2463"
"1998 SEP","2053"
"1998 OCT","2645"
"1998 NOV","2411"
"1998 DEC","2801"
"1999 JAN","2708"
"1999 FEB","2182"
"1999 MAR","1916"
"1999 APR","2467"
"1999 MAY","2396"
"1999 JUN","2032"
"1999 JUL","2286"
"1999 AUG","2185"
"1999 SEP","1582"
"1999 OCT","2227"
"1999 NOV","2226"
"1999 DEC","2370"
"2000 JAN","2383"
"2000 FEB","1992"
"2000 MAR","1753"
"2000 APR","2331"
"2000 MAY","2389"
"2000 JUN","2152"
"2000 JUL","2413"
"2000 AUG","2415"
"2000 SEP","1639"
"2000 OCT","2413"
"2000 NOV","2445"
"2000 DEC","2290"
"2001 JAN","2598"
"2001 FEB","2224"
"2001 MAR","1582"
"2001 APR","1983"
"2001 MAY","2401"
"2001 JUN","1670"
"2001 JUL","2328"
"2001 AUG","1976"
"2001 SEP","1226"
"2001 OCT","2192"
"2001 NOV","1905"
"2001 DEC","2021"
"2002 JAN","2450"
"2002 FEB","1882"
"2002 MAR","981"
"2002 APR","1993"
"2002 MAY","1989"
"2002 JUN","1827"
"2002 JUL","1432"
"2002 AUG","1557"
"2002 SEP","1630"
"2002 OCT","1683"
"2002 NOV","1999"
"2002 DEC","2484"
"2003 JAN","1915"
"2003 FEB","1629"
"2003 MAR","1610"
"2003 APR","1692"
"2003 MAY","2242"
"2003 JUN","2096"
"2003 JUL","1816"
"2003 AUG","1788"
"2003 SEP","1698"
"2003 OCT","1923"
"2003 NOV","2082"
"2003 DEC","2505"
"2004 JAN","1910"
"2004 FEB","1624"
"2004 MAR","1845"
"2004 APR","1758"
"2004 MAY","2245"
"2004 JUN","2154"
"2004 JUL","1951"
"2004 AUG","2188"
"2004 SEP","1824"
"2004 OCT","2061"
"2004 NOV","2392"
"2004 DEC","2745"
"2005 JAN","2404"
"2005 FEB","2128"
"2005 MAR","2035"
"2005 APR","2121"
"2005 MAY","2350"
"2005 JUN","2557"
"2005 JUL","2312"
"2005 AUG","2465"
"2005 SEP","1635"
"2005 OCT","2207"
"2005 NOV","2636"
"2005 DEC","2871"
"2006 JAN","2354"
"2006 FEB","2156"
"2006 MAR","2133"
"2006 APR","2170"
"2006 MAY","2402"
"2006 JUN","2671"
"2006 JUL","2517"
"2006 AUG","2475"
"2006 SEP","1997"
"2006 OCT","2532"
"2006 NOV","2847"
"2006 DEC","3159"
"2007 JAN","2923"
"2007 FEB","2806"
"2007 MAR","2264"
"2007 APR","2597"
"2007 MAY","2969"
"2007 JUN","2937"
"2007 JUL","2856"
"2007 AUG","3233"
"2007 SEP","1723"
"2007 OCT","3126"
"2007 NOV","3189"
"2007 DEC","3321"
"2008 JAN","2926"
"2008 FEB","3152"
"2008 MAR","1670"
"2008 APR","3089"
"2008 MAY","2871"
"2008 JUN","3437"
"2008 JUL","3072"
"2008 AUG","3378"
"2008 SEP","1789"
"2008 OCT","3306"
"2008 NOV","3010"
"2008 DEC","3290"
"2009 JAN","2465"
"2009 FEB","2352"
"2009 MAR","1476"
"2009 APR","3011"
"2009 MAY","2911"
"2009 JUN","2461"
"2009 JUL","2250"
"2009 AUG","1381"
"2009 SEP","1265"
"2009 OCT","3677"
"2009 NOV","3094"
"2009 DEC","3450"
"2010 JAN","3651"
"2010 FEB","3697"
"2010 MAR","2827"
"2010 APR","4033"
"2010 MAY","4119"
"2010 JUN","4650"
"2010 JUL","3887"
"2010 AUG","3970"
"2010 SEP","2743"
"2010 OCT","4316"
"2010 NOV","4322"
"2010 DEC","4668"
"2011 JAN","4211"
"2011 FEB","4409"
"2011 MAR","3396"
"2011 APR","5159"
"2011 MAY","4442"
"2011 JUN","5137"
"2011 JUL","4471"
"2011 AUG","4070"
"2011 SEP","3221"
"2011 OCT","5293"
"2011 NOV","5192"
"2011 DEC","4586"
"2012 JAN","4281"
"2012 FEB","4206"
"2012 MAR","2159"
"2012 APR","5520"
"2012 MAY","4920"
"2012 JUN","4268"
"2012 JUL","3766"
"2012 AUG","3083"
"2012 SEP","3198"
"2012 OCT","4874"
"2012 NOV","4818"
"2012 DEC","4731"
"2013 JAN","3360"
"2013 FEB","4217"
"2013 MAR","3940"
"2013 APR","5369"
"2013 MAY","4844"
"2013 JUN","4678"
"2013 JUL","3847"
"2013 AUG","3598"
"2013 SEP","3202"
"2013 OCT","5286"
"2013 NOV","4768"
"2013 DEC","3718"
"2014 JAN","3819"
"2014 FEB","4517"
"2014 MAR","2733"
"2014 APR","5489"
"2014 MAY","4339"
"2014 JUN","4433"
"2014 JUL","3822"
"2014 AUG","4356"
"2014 SEP","3122"
"2014 OCT","4990"
"2014 NOV","4308"
"2014 DEC","3832"
"2015 JAN","2906"
"2015 FEB","3967"
"2015 MAR","1032"
"2015 APR","5158"
"2015 MAY","4063"
"2015 JUN","4533"
"2015 JUL","4191"
"2015 AUG","4070"
"2015 SEP","2527"
"2015 OCT","5210"
"2015 NOV","3298"
"2015 DEC","3574"
"2016 JAN","4155"
"2016 FEB","4493"
"2016 MAR","1088"
"2016 APR","5286"
"2016 MAY","4781"
"2016 JUN","3775"
"2016 JUL","4301"
"2016 AUG","4881"
"2016 SEP","3432"
"2016 OCT","4892"
"2016 NOV","4230"
"2016 DEC","3298"
"2017 JAN","4098"
"2017 FEB","5624"
"2017 MAR","1324"
"2017 APR","7251"
"2017 MAY","4626"
"2017 JUN","5029"
"2017 JUL","4958"
"2017 AUG","4489"
"2017 SEP","3748"
"2017 OCT","6150"
"2017 NOV","4022"
"2017 DEC","4516"
"2018 JAN","4317"
"2018 FEB","6479"
"2018 MAR","577"
"2018 APR","6296"
"2018 MAY","3581"
"2018 JUN","5118"
"2018 JUL","4717"
"2018 AUG","4758"
"2018 SEP","3043"
"2018 OCT","7133"
"2018 NOV","3118"
"2018 DEC","4071"
"2019 JAN","3677"
"2019 FEB","4756"
"2019 MAR","-134"
"2019 APR","6455"
"2019 MAY","3380"
"2019 JUN","7511"
"2019 JUL","4605"
"2019 AUG","3951"
"2019 SEP","2559"
"2019 OCT","6649"
"2019 NOV","2250"
"2019 DEC","2913"
"2020 JAN","4172"
"2020 FEB","4406"
"2020 MAR","1415"
"2020 APR","5292"
"2020 MAY","3560"
"2020 JUN","2879"
"2020 JUL","2470"
"2020 AUG","3607"
"2020 SEP","5005"
"2020 OCT","1990"
"2020 NOV","4226"
"2020 DEC","2814"
"2021 JAN","1709"
"2021 FEB","5502"
"2021 MAR","1958"
"2021 APR","4875"
"2021 MAY","4488"
"2021 JUN","9064"
"2021 JUL","3691"
"2021 AUG","6608"
"2021 SEP","5036"
"2021 OCT","5951"
"2021 NOV","4812"
"2021 DEC","8481"
"2022 JAN","6398"
"2022 FEB","8268"
"2022 MAR","3220"
"2022 APR","6760"
"2022 MAY","8074"
"2022 JUN","20149"
"2022 JUL","6389"
"2022 AUG","8722"
"2022 SEP","7952"
"2022 OCT","6522"
"2022 NOV","7785"
"2022 DEC","17606"
"2023 JAN","6905"
"2023 FEB","7085"
"2023 MAR","4114"
"2023 APR","9992"
"2023 MAY","8308"
"2023 JUN","13256"
"2023 JUL","8382"
"2023 AUG","6117"
"2023 SEP","1034"
"2023 OCT","8740"
"2023 NOV","7750"
"2023 DEC","4598"
"2024 JAN","4551"
"2024 FEB","7481"
"2024 MAR","3004"
"2024 APR","9459"
"2024 MAY","8312"
"2024 JUN","8015"
"2024 JUL","6988"
"2024 AUG","6553"
"2024 SEP","5828"
"2024 OCT","9288"
"2024 NOV","3557"
"2024 DEC","8884"
"2025 JAN","6538"
"2025 FEB","7462"
"2025 MAR","4520"
"2025 APR","9391"
"2025 MAY","7759"
"2025 JUN","17207"
"2025 JUL","7092"
"2025 AUG","8434"
"2025 SEP","9449"
"2025 OCT","8365"
"2025 NOV","3131"
"2025 DEC","9062"
